iter	Passed	Remaining
455	903	1077
456	905	1076
457	908	1074
458	909	1072
459	912	1070
460	914	1068
461	915	1066
462	918	1065
463	921	1064
464	923	1062
465	925	1060
466	927	1058
467	928	1055
468	931	1054
469	934	1053
470	948	1065
471	950	1063
472	952	1061
473	954	1059
474	956	1057
475	958	1055
476	960	1053
477	962	1051
478	964	1049
479	966	1047
480	968	1045
481	970	1043
482	972	1041
483	974	1039
484	976	1037
485	979	1035
486	981	1034
487	983	1032
488	985	1030
489	987	1028
490	989	1026
491	991	1024
492	993	1022
493	995	1019
494	997	1017
495	999	1015
496	1001	1013
497	1003	1011
498	1005	1009
499	1007	1007
500	1009	1005
501	1011	1003
502	1013	1001
503	1015	999
504	1017	997
505	1019	995
506	1021	993
507	1023	991
508	1025	989
509	1027	987
510	1029	984
511	1031	982
512	1033	980
513	1034	978
514	1037	976
515	1039	975
516	1041	973
517	1044	971
518	1046	969
519	1048	967
520	1050	965
521	1052	963
522	1054	961
523	1056	959
524	1058	957
525	1059	954
526	1061	952
527	1063	950
528	1065	948
529	1067	946
530	1069	944
531	1070	941
532	1072	939
533	1074	937
534	1076	935
535	1078	933
536	1080	931
537	1081	929
538	1083	926
539	1085	924
540	1087	922
541	1089	920
542	1091	918
543	1093	916
544	1095	914
545	1097	912
546	1099	910
547	1101	908
548	1103	906
549	1105	904
550	1107	902
551	1110	901
552	1113	899
553	1115	897
554	1117	895
555	1119	894
556	1121	892
557	1123	890
558	1126	888
559	1128	887
560	1131	885
561	1133	883
562	1135	881
563	1137	879
564	1139	877
565	1141	875
566	1143	873
567	1145	871
568	1147	868
569	1149	866
570	1150	864
571	1152	862
572	1154	860
573	1156	858
574	1158	856
575	1160	853
576	1162	851
577	1163	849
578	1165	847
579	1167	845
580	1169	843
581	1171	841
582	1173	839
583	1175	837
584	1177	835
585	1179	833
586	1180	830
587	1182	828
588	1185	827
589	1188	825
590	1190	823
591	1192	821
592	1194	819
593	1196	817
594	1198	815
595	1200	813
596	1202	811
597	1204	809
598	1206	807
599	1208	805
600	1210	803
601	1212	801
602	1214	799
603	1216	797
604	1218	795
605	1219	793
606	1221	791
607	1223	788
608	1225	786
609	1227	784
610	1229	782
611	1231	780
612	1233	778
613	1235	776
614	1236	774
615	1238	772
616	1240	770
617	1242	768
618	1244	766
619	1246	764
620	1248	762
621	1250	759
622	1252	757
623	1254	755
624	1256	753
625	1257	751
626	1259	749
627	1261	747
628	1263	745
629	1264	742
630	1266	740
631	1268	738
632	1270	736
633	1273	734
634	1275	733
635	1277	731
636	1279	728
637	1281	726
638	1283	724
639	1284	722
640	1287	721
641	1289	719
642	1291	717
643	1293	715
644	1295	713
645	1297	711
646	1299	709
647	1302	707
648	1305	705
649	1307	703
650	1309	702
651	1311	699
652	1313	698
653	1316	696
654	1318	694
655	1320	692
656	1322	690
657	1324	688
658	1326	686
659	1328	684
660	1330	682
661	1332	680
662	1334	678
663	1336	676
664	1338	674
665	1339	672
666	1341	669
667	1343	667
668	1345	665
669	1347	663
670	1349	661
671	1351	659
672	1353	657
673	1355	655
674	1358	653
675	1360	651
676	1361	649
677	1363	647
678	1365	645
679	1367	643
680	1369	641
681	1371	639
682	1373	637
683	1375	635
684	1376	633
685	1378	631
686	1380	628
687	1382	626
688	1384	624
689	1385	622
690	1387	620
691	1389	618
692	1391	616
693	1393	614
694	1395	612
695	1397	610
696	1399	608
697	1400	606
698	1402	604
699	1404	602
700	1406	599
701	1408	597
702	1410	595
703	1412	593
704	1414	591
705	1416	589
706	1418	587
707	1420	585
708	1421	583
709	1423	581
710	1425	579
711	1427	577
712	1429	575
713	1431	573
714	1433	571
715	1434	569
716	1436	567
717	1438	565
718	1440	562
719	1442	560
720	1444	558
721	1446	556
722	1448	554
723	1450	552
724	1451	550
725	1453	548
726	1455	546
727	1457	544
728	1459	542
729	1461	540
730	1463	538
731	1465	536
732	1467	534
733	1469	532
734	1471	530
735	1473	528
736	1476	526
737	1478	524
738	1480	522
739	1482	520
740	1484	518
741	1487	517
742	1490	515
743	1492	513
744	1494	511
745	1497	509
746	1499	507
747	1501	505
748	1503	503
749	1506	502
750	1508	500
751	1510	498
752	1513	496
753	1515	494
754	1517	492
755	1519	490
756	1521	488
757	1524	486
758	1526	484
759	1527	482
760	1529	480
761	1531	478
762	1534	476
763	1537	474
764	1539	472
765	1540	470
766	1542	468
767	1544	466
768	1546	464
769	1549	462
770	1550	460
771	1553	458
772	1554	456
773	1556	454
774	1558	452
775	1560	450
776	1562	448
777	1564	446
778	1566	444
779	1568	442
780	1570	440
781	1572	438
782	1574	436
783	1576	434
784	1578	432
785	1580	430
786	1582	428
787	1584	426
788	1586	424
789	1588	422
790	1590	420
791	1591	418
792	1594	416
793	1596	414
794	1598	412
795	1600	410
796	1602	408
797	1604	406
798	1606	404
799	1608	402
800	1610	400
801	1612	398
802	1614	395
803	1615	393
804	1617	391
805	1619	389
806	1621	387
807	1623	385
808	1625	383
809	1627	381
810	1629	379
811	1631	377
812	1633	375
813	1635	373
814	1637	371
815	1639	369
816	1641	367
817	1642	365
818	1644	363
819	1646	361
820	1649	359
821	1651	357
822	1653	355
823	1655	353
824	1657	351
825	1659	349
826	1661	347
827	1664	345
828	1666	343
829	1668	341
830	1670	339
831	1672	337
832	1675	335
833	1677	333
834	1681	332
835	1683	330
836	1686	328
837	1688	326
838	1690	324
839	1693	322
840	1695	320
841	1698	318
842	1700	316
843	1702	314
844	1704	312
845	1707	310
846	1709	308
847	1711	306
848	1713	304
849	1715	302
850	1717	300
851	1719	298
852	1721	296
853	1724	294
854	1726	292
855	1728	290
856	1730	288
857	1732	286
858	1734	284
859	1736	282
860	1739	280
861	1741	278
862	1743	276
863	1745	274
864	1747	272
865	1749	270
866	1751	268
867	1753	266
868	1755	264
869	1757	262
870	1759	260
871	1761	258
872	1762	256
873	1764	254
874	1766	252
875	1768	250
876	1770	248
877	1772	246
878	1774	244
879	1776	242
880	1778	240
881	1779	238
882	1781	236
883	1784	234
884	1786	232
885	1788	230
886	1790	228
887	1792	226
888	1794	224
889	1796	222
890	1798	219
891	1800	217
892	1801	215
893	1803	213
894	1805	211
895	1807	209
896	1809	207
897	1811	205
898	1813	203
899	1815	201
900	1816	199
901	1818	197
902	1820	195
903	1822	193
904	1824	191
905	1826	189
906	1828	187
907	1830	185
908	1832	183
909	1834	181
910	1835	179
911	1837	177
912	1839	175
913	1841	173
914	1844	171
915	1846	169
916	1848	167
917	1849	165
918	1851	163
919	1853	161
920	1855	159
921	1857	157
922	1859	155
923	1861	153
924	1863	151
925	1865	149
926	1867	147
927	1869	145
928	1871	143
929	1874	141
930	1877	139
931	1879	137
932	1881	135
933	1883	133
934	1886	131
935	1888	129
936	1891	127
937	1893	125
938	1895	123
939	1897	121
940	1899	119
941	1902	117
942	1904	115
943	1906	113
944	1908	111
945	1910	109
946	1912	107
947	1914	105
948	1917	103
949	1919	101
950	1921	98
951	1923	96
952	1924	94
953	1926	92
954	1928	90
955	1930	88
956	1932	86
957	1934	84
958	1936	82
959	1938	80
960	1939	78
961	1941	76
962	1943	74
963	1945	72
964	1947	70
965	1949	68
966	1951	66
967	1953	64
968	1955	62
969	1956	60
970	1958	58
971	1960	56
972	1962	54
973	1964	52
974	1965	50
975	1967	48
976	1969	46
977	1971	44
978	1972	42
979	1974	40
980	1976	38
981	1978	36
982	1980	34
983	1982	32
984	1984	30
985	1986	28
986	1987	26
987	1990	24
988	1991	22
989	1993	20
990	1995	18
991	1997	16
992	1999	14
993	2001	12
994	2002	10
995	2005	8
996	2007	6
997	2009	4
998	2011	2
999	2013	0
