iter	RMSE
0	4456.908874
1	4316.517226
2	4177.667585
3	4044.671619
4	3923.555651
5	3814.859349
6	3705.612568
7	3616.283507
8	3545.037854
9	3455.888162
10	3384.460679
11	3311.09582
12	3240.393252
13	3179.571673
14	3126.893315
15	3086.176309
16	3029.16562
17	2982.864968
18	2944.371105
19	2910.107715
20	2866.376301
21	2830.534465
22	2802.303704
23	2773.416683
24	2743.50863
25	2715.012385
26	2689.154153
27	2663.894436
28	2641.880358
29	2618.784366
30	2596.739968
31	2580.380429
32	2564.08775
33	2550.76048
34	2531.249207
35	2515.288572
36	2505.875944
37	2488.953106
38	2474.966712
39	2466.856924
40	2455.940435
41	2447.929012
42	2436.662482
43	2425.584439
44	2415.851031
45	2408.603202
46	2398.054028
47	2389.073454
48	2383.520875
49	2373.838192
50	2365.775065
51	2359.484687
52	2352.166354
53	2346.099735
54	2337.182636
55	2332.14683
56	2327.224074
57	2320.802574
58	2316.32171
59	2309.605977
60	2302.214533
61	2296.279852
62	2289.357125
63	2282.592818
64	2275.80519
65	2270.004667
66	2263.652693
67	2261.456681
68	2257.254127
69	2253.896645
70	2247.325319
71	2243.890794
72	2240.414515
73	2234.974936
74	2230.506846
75	2227.697877
76	2226.296181
77	2222.675745
78	2218.933708
79	2214.546147
80	2211.865563
81	2209.047483
82	2204.479753
83	2198.903678
84	2196.451136
85	2191.767443
86	2187.625578
87	2182.821859
88	2179.132238
89	2177.455422
90	2171.848415
91	2169.53449
92	2165.493247
93	2162.442681
94	2158.618619
95	2154.887898
96	2149.55414
97	2148.151484
98	2144.856364
99	2141.376365
100	2135.426481
101	2131.660552
102	2127.743096
103	2125.290781
104	2121.312938
105	2119.703375
106	2114.753986
107	2110.646854
108	2107.541982
109	2103.23066
110	2099.517646
111	2096.735341
112	2095.621105
113	2092.645502
114	2087.820025
115	2086.728818
116	2084.469128
117	2081.529852
118	2078.442292
119	2073.120449
120	2069.859039
121	2069.17813
122	2067.19045
123	2065.475091
124	2064.660271
125	2061.277529
126	2057.024198
127	2053.767811
128	2050.847392
129	2049.069734
130	2046.459816
131	2046.132036
132	2042.536091
133	2039.523332
134	2038.136411
135	2037.116525
136	2034.68412
137	2032.77324
138	2029.599066
139	2027.146579
140	2025.515963
141	2023.707168
142	2020.962985
143	2019.231745
144	2017.236493
145	2016.80105
146	2013.457066
147	2010.901504
148	2009.316653
149	2007.168429
150	2003.973859
151	2002.984302
152	2001.228511
153	1998.260543
154	1996.407184
155	1992.614954
156	1991.613581
157	1990.073273
158	1988.426435
159	1985.667445
160	1982.732765
161	1980.937271
162	1978.696369
163	1975.842156
164	1973.875926
165	1972.875913
166	1971.503166
167	1969.994345
168	1967.554846
169	1965.411431
170	1963.859066
171	1961.411582
172	1960.627394
173	1959.308109
174	1956.826661
175	1952.014093
176	1950.066165
177	1948.99887
178	1946.346386
179	1945.617223
180	1944.88689
181	1944.397819
182	1940.738307
183	1939.969296
184	1938.166083
185	1937.448936
186	1935.60086
187	1933.442596
188	1932.019498
189	1931.768531
190	1931.02501
191	1930.866668
192	1929.987109
193	1927.672773
194	1926.576648
195	1925.484839
196	1924.742906
197	1923.952499
198	1923.786852
199	1922.403609
200	1919.658407
201	1918.730645
202	1918.275172
203	1917.735679
204	1915.891509
205	1915.755667
206	1915.619596
207	1912.908252
208	1912.82204
209	1911.677664
210	1911.071822
211	1910.732696
212	1910.033381
213	1908.093773
214	1907.696789
215	1906.058556
216	1905.633118
217	1903.320133
218	1901.304359
219	1901.229157
220	1900.925956
221	1899.012552
222	1898.943023
223	1898.876081
224	1896.008726
225	1894.985093
226	1893.033337
227	1890.664426
228	1888.124566
229	1888.014013
230	1886.837197
231	1885.929856
232	1885.867255
233	1883.852711
234	1882.784537
235	1882.724248
236	1881.089925
237	1878.012639
238	1876.554375
239	1876.496437
240	1875.509264
241	1875.453837
242	1873.342596
243	1871.805455
244	1869.874577
245	1869.665767
246	1868.006273
247	1865.656085
248	1863.702464
249	1861.518678
250	1860.564389
251	1860.525444
252	1859.099978
253	1857.345526
254	1855.349082
255	1855.298277
256	1852.498444
257	1851.074985
258	1851.026415
259	1850.979681
260	1850.085989
261	1847.993289
262	1847.948308
263	1845.171724
264	1843.766836
265	1842.709641
266	1841.473824
267	1841.418846
268	1840.134259
269	1838.943637
270	1836.528713
271	1835.26796
272	1835.214513
273	1835.180677
274	1833.754904
275	1832.341509
276	1831.419301
277	1830.093463
278	1827.973079
279	1827.923041
280	1826.322523
281	1826.273887
282	1824.60519
283	1822.587907
284	1821.090548
285	1820.94016
286	1818.029216
287	1817.999339
288	1816.68865
289	1816.645979
290	1814.763985
291	1813.57252
292	1812.38526
293	1809.775727
294	1808.441061
295	1807.622871
296	1805.588942
297	1803.947405
298	1803.917511
299	1802.974478
300	1802.318106
301	1801.629401
302	1800.582598
303	1799.543856
304	1799.52856
305	1799.513662
306	1797.638052
307	1796.187118
308	1796.17264
309	1794.249637
310	1791.613279
311	1790.450494
312	1789.310255
313	1789.276662
314	1788.143199
315	1786.754522
316	1786.740889
317	1784.971323
318	1783.265641
319	1782.080299
320	1782.061456
321	1781.095025
322	1780.311467
323	1779.527
324	1779.513815
325	1778.071716
326	1775.984693
327	1775.155964
328	1773.835177
329	1772.648449
330	1771.327829
331	1770.063172
332	1768.00302
333	1767.990606
334	1766.807645
335	1765.715356
336	1764.142502
337	1763.191627
338	1762.182775
339	1761.605603
340	1760.449809
341	1759.062618
342	1758.494152
343	1757.295113
344	1756.019395
345	1754.440687
346	1753.274968
347	1752.04182
348	1749.798947
349	1748.772252
350	1747.17015
351	1745.952825
352	1744.920822
353	1743.920547
354	1742.219117
355	1739.701343
356	1739.688742
357	1737.622138
358	1735.529104
359	1735.517088
360	1734.642069
361	1734.071362
362	1733.696035
363	1732.469798
364	1731.573701
365	1730.887108
366	1729.617483
367	1729.599376
368	1728.618353
369	1727.413074
370	1726.344954
371	1724.777922
372	1723.988432
373	1723.970514
374	1723.953395
375	1723.427025
376	1722.525762
377	1721.845639
378	1720.85654
379	1719.971228
380	1719.079843
381	1719.069196
382	1718.361248
383	1717.01834
384	1715.240806
385	1715.22505
386	1714.545729
387	1714.520902
388	1713.751127
389	1713.178849
390	1711.973378
391	1710.3849
392	1708.892181
393	1707.448509
394	1706.759839
395	1706.750144
396	1705.78642
397	1705.777013
398	1704.716171
399	1704.702064
400	1703.77109
401	1703.762136
402	1702.907866
403	1702.059608
404	1700.686631
405	1699.676552
406	1698.371153
407	1697.469544
408	1697.460473
409	1697.446117
410	1696.635607
411	1696.005849
412	1695.34236
413	1693.904908
414	1692.451962
415	1690.89239
416	1689.714639
417	1688.872668
418	1687.73572
419	1686.388792
420	1685.650768
421	1685.082696
422	1684.403781
423	1683.078639
424	1682.464964
425	1681.736403
426	1680.98304
427	1679.985475
428	1679.976419
429	1678.741448
430	1677.756833
431	1676.637135
432	1675.548372
433	1674.571463
434	1673.598121
435	1672.801277
436	1672.297687
437	1671.3178
438	1670.849347
439	1669.422539
440	1668.203924
441	1667.730869
442	1666.415932
443	1665.320248
444	1664.595524
445	1663.52746
446	1662.989011
447	1661.778414
448	1660.71696
449	1659.841418
450	1658.959786
451	1658.563074
452	1658.050479
453	1657.325107
454	1656.575677
455	1655.35617
456	1654.466785
457	1652.964538
458	1652.955992
459	1652.031698
460	1651.332492
461	1651.323774
462	1650.177081
463	1649.019655
464	1647.739386
465	1647.73048
466	1647.715749
467	1647.707776
468	1647.063678
469	1645.780377
470	1645.234718
471	1645.226679
472	1643.960422
473	1643.1756
